;;;;;;;;;;;;;;;;;
Второй раздел – виды спорта, развитие которых осуществляется на общероссийском уровне, и их спортивные дисциплины;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
№;Наименование  вида спорта;Номер-код вида спорта;Наименование спортивной дисциплины;Номер-код спортивной дисциплины;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;ГОРНОЛЫЖНЫЙ СПОРТ;0060003611Я;КОМАНДНЫЕ СОРЕВНОВАНИЯ;0060093611Я;;;;;;;;;;;;;
;;;ТРОЕБОРЬЕ;0060073811Н;;;;;;;;;;;;;
;;;СУПЕР - КОМБИНАЦИЯ;0060083611Я;;;;;;;;;;;;;
;;;ПАРАЛЛЕЛЬНЫЙ СЛАЛОМ;0060063811Я;;;;;;;;;;;;;
;;;КОМБИНАЦИЯ;0060053811Н;;;;;;;;;;;;;
;;;СЛАЛОМ;0060043611Я;;;;;;;;;;;;;
;;;СЛАЛОМ - ГИГАНТ;0060033611Я;;;;;;;;;;;;;
;;;СУПЕР - ГИГАНТ;0060023611Я;;;;;;;;;;;;;
;;;СКОРОСТНОЙ СПУСК;0060013611Я;;;;;;;;;;;;;
2;ТХЭКВОНДО МФТ;1830001411Я;ВЕСОВАЯ КАТЕГОРИЯ 54 КГ;1830101811Н;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 54+ КГ;1830111811Н;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 55 КГ;1830121811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 56 КГ;1830131811Э;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 57 КГ;1830141811М;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 60 КГ;1830151811Н;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 60+ КГ;1830161811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 62 КГ;1830171811Э;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 63 КГ;1830181811М;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 65 КГ;1830191811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 65+ КГ;1830201811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 68 КГ;1830211811Э;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 70 КГ;1830221811М;;;;;;;;;;;;;
